Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,PAN Qimiao,CHN,5,SZUCS Luca,HUN,15,Ref GRITSAEV Konstantin PUR,https://www.youtube.com/watch?v=Im9oQ-iHa1k&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=51&pp=iAQB
32,PEREZ CUENCA Celia,ESP,5,VONGSAVADY Malina,FRA,15,Ref KUSHIHASHI Mayu JPN,https://www.youtube.com/watch?v=AbA5z10WgW0&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=41&pp=iAQB
32,KLIUCHNIKOVA Alina,AIN,10,MARTIN-PORTUGUES Lucia,ESP,15,Ref DOANA Andreea ROU,https://www.youtube.com/watch?v=pO_7DB_f4Wg&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=48&pp=iAQB
32,EMURA Misaki,JPN,15,KANEKO Yuina,JPN,8,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=g4MFXgEt2Y4&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=55&pp=iAQB
32,HERRERA LARA Luisa Fernanda,UZB,15,CHAMBERLAIN Maia,USA,10,Ref DOUVIS Andreas GRE,https://www.youtube.com/watch?v=2XVWpBci9hQ&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=42&pp=iAQB
32,PUSZTAI Liza,HUN,11,SANO Yui,JPN,15,Ref GUCLUER Ilgin TUR,https://www.youtube.com/watch?v=VBLghlzun5E&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=46&pp=iAQB
32,RIFKISS Margaux,FRA,11,PASSARO Eloisa,ITA,15,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=Tt8-Ocfpnxk&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=47&pp=iAQB
32,ERBIL Nisanur,TÜR,11,LANDI Michela,ITA,15,Ref DYAOKOKIN Yevgeniy KAZ,https://www.youtube.com/watch?v=MVNikzROMp4&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=54&pp=iAQB
32,FUSETTI Carlotta,ITA,11,NOUTCHA Sarah,FRA,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=0MaEih0NLCI&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=52&pp=iAQB
32,DAYIBEKOVA Zaynab,UZB,15,BATTAI Sugar Katinka,HUN,13,Ref DECKER Laura USA,https://www.youtube.com/watch?v=RB2J3cGPuXw&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=44&pp=iAQB
32,MORMILE Chiara,ITA,13,BALZER Sara,FRA,15,Ref SCHIFFERS Alexander GER,https://www.youtube.com/watch?v=6Al2rzZw0iU&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=43&pp=iAQB
16,JEON Hayoung,KOR,8,BATTISTON Michela,ITA,15,Ref DYAOKOKIN Yevgeniy KAZ,https://www.youtube.com/watch?v=nyFC_5JOTCY&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=24&pp=iAQB
16,GEORGIADOU Despina,GRE,15,KATONA Renata,HUN,10,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=uTVcjcAJWKc&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=21&pp=iAQB
16,ILIEVA Yoana,BUL,15,SZUCS Luca,HUN,8,Ref MARTILOTTI Luigi ITA,https://www.youtube.com/watch?v=ugjqKAre_ng&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=23&pp=iAQB
16,VONGSAVADY Malina,FRA,15,MARTIN-PORTUGUES Lucia,ESP,14,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=Y7VtmAsoPIM&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=18&pp=iAQB
16,EMURA Misaki,JPN,15,HERRERA LARA Luisa Fernanda,UZB,14,Ref DOUVIS Andreas GRE,https://www.youtube.com/watch?v=v131OTd2IKw&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=17&pp=iAQB
16,SANO Yui,JPN,7,PASSARO Eloisa,ITA,15,Ref DOANA Andreea ROU,https://www.youtube.com/watch?v=xT_rP9mBFhE&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=20&pp=iAQB
16,LANDI Michela,ITA,12,NOUTCHA Sarah,FRA,15,Ref DECKER Laura USA,https://www.youtube.com/watch?v=K2S4P1nfjaE&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=22&pp=iAQB
16,DAYIBEKOVA Zaynab,UZB,15,BALZER Sara,FRA,11,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=9yloI08evPc&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=19&pp=iAQB
8,BATTISTON Michela,ITA,15,GEORGIADOU Despina,GRE,7,Ref DECKER Laura USA,https://www.youtube.com/watch?v=5rkY7qPE-_4&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=5&pp=iAQB
8,ILIEVA Yoana,BUL,15,VONGSAVADY Malina,FRA,9,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=J5Oia8lkrM4&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=8&pp=iAQB
8,EMURA Misaki,JPN,15,PASSARO Eloisa,ITA,6,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=pZUvdC9kCi0&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=6&pp=iAQB
8,NOUTCHA Sarah,FRA,15,DAYIBEKOVA Zaynab,UZB,10,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=RKB31aUJ_2E&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=7&pp=iAQB
4,BATTISTON Michela,ITA,15,ILIEVA Yoana,BUL,11,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=Er7zm4ln0QU&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=124&pp=iAQB
4,EMURA Misaki,JPN,15,NOUTCHA Sarah,FRA,9,Ref DOANA Andreea ROU,https://www.youtube.com/watch?v=Y5_ntWnBHuA&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=123&pp=iAQB
2,BATTISTON Michela,ITA,13,EMURA Misaki,JPN,15,Ref DECKER Laura USA,https://www.youtube.com/watch?v=ZDg8MJGMzzM&list=PLNiGTm2egXLR3Cf__2qvAvglxEpmVsStd&index=120&pp=iAQB
