Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,TORI Toscane,FRA,10,ILIEVA Yoana,BUL,15,Ref QIAO Min CHN,https://www.youtube.com/watch?v=QCS7uFzZ1yA
32,GKOUNTOURA Theodora,GRE,14,CLAPIER Faustine,FRA,15,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=g6O6X9uYZb0&pp=0gcJCX4JAYcqIYzv
32,SULLIVAN Siobhan,USA,14,ERBIL Nisanur,TÜR,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=pMFdvVsoNxI
32,SZUCS Luca,HUN,15,MORMILE Chiara,ITA,13,Ref ABDICHE Sonia ALG,https://www.youtube.com/watch?v=qKzr2fqmyK4
32,MATUSZAK Sylwia,POL,7,NOUTCHA Sarah,FRA,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=Pqh7qyIB-DQ
32,NAVARRO Araceli,ESP,15,LUSINIER Kelly,FRA,10,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=bEhWKw9iMWw&pp=0gcJCX4JAYcqIYzv
32,FUSETTI Benedetta,ITA,15,PUSZTAI Liza,HUN,14,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=-eSJIp44zEU
32,DAYIBEKOVA Zaynab,UZB,15,KIKUCHI Kokona,JPN,8,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=IoeFZDfY1qc
32,BATTAI Sugar Katinka,HUN,13,EMURA Misaki,JPN,15,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=h4TKGhmxnWk
16,JEON Hayoung,KOR,15,FU Ying,CHN,14,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=SKV8QtGF_XI&pp=0gcJCX4JAYcqIYzv
16,BATTISTON Michela,ITA,7,GEORGIADOU Despina,GRE,15,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=404oPwyqt_Y
16,MARTIN-PORTUGUES Lucia,ESP,15,CHOI Sebin,KOR,14,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=Co2Sn2iVmbQ
