Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,OZAKI Seri,JPN,15,VONGSAVADY Malina,FRA,11,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=usqXjn9Zy7o&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=40&pp=iAQB
32,GEORGIADOU Despina,GRE,15,KIM Jiyoung,KOR,11,Ref DOANA Andreea ROU,https://www.youtube.com/watch?v=xidBsUKmuk4&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=55&pp=iAQB
32,CLAPIER Faustine,FRA,15,PUSZTAI Liza,HUN,10,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=ivjiWIVEiG0&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=51&pp=iAQB
32,PEREZ CUENCA Celia,ESP,15,CHOI Jiyoung,KOR,14,Ref BREWER Adam USA,https://www.youtube.com/watch?v=9r3bHZKA44A&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=46&pp=iAQB
32,CRISCIO Martina,ITA,4,ILIEVA Yoana,BUL,15,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=U3gfSfaF4rk&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=43&pp=iAQB
32,BALZER Sara,FRA,13,KATONA Renata,HUN,15,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=DixidtWckg8&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=52&pp=iAQB0gcJCY0JAYcqIYzv
32,POPOVA Evelina,AIN,15,ERBIL Nisanur,TÜR,11,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=1n4v1RkgYu8&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=54&pp=iAQB
32,SZUCS Luca,HUN,15,EIFLER Larissa,GER,12,Ref KIM Sun Ho KOR,https://www.youtube.com/watch?v=TzafysSd84A&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=44&pp=iAQB0gcJCY0JAYcqIYzv
32,FUSETTI Carlotta,ITA,7,NOUTCHA Sarah,FRA,15,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=FgItlTmggVQ&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=42&pp=iAQB
32,NAVARRO Araceli,ESP,15,SPICA Manuela,ITA,12,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=-cZE-R__yNM&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=53&pp=iAQB
32,MORMILE Chiara,ITA,13,BATTISTON Michela,ITA,15,Ref ANDREEVA Margarita UZB,https://www.youtube.com/watch?v=iL9J5uOq-kg&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=48&pp=iAQB
32,CHAMBERLAIN Maia,USA,10,KOMASHCHUK Alina,UKR,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=JUuaBxNw1CY&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=47&pp=iAQB
32,QUEROLI Caroline,FRA,12,JEON Hayoung,KOR,15,Ref ARSLAN Abdussamet TUR,https://www.youtube.com/watch?v=ys2rGguyhno&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=41&pp=iAQB
16,EMURA Misaki,JPN,13,KIM Jeongmi,KOR,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=Fem-_4f7nnw&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=21&pp=iAQB
16,FU Ying,CHN,13,OZAKI Seri,JPN,15,Ref CASARES Ignacio ESP,https://www.youtube.com/watch?v=h1WyPGG_YII&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=17&pp=iAQB0gcJCY0JAYcqIYzv
16,GEORGIADOU Despina,GRE,15,CLAPIER Faustine,FRA,11,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=g658TNcD-Bs&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=23&pp=iAQB
16,PEREZ CUENCA Celia,ESP,7,ILIEVA Yoana,BUL,15,Ref ARSLAN Abdussamet TUR,https://www.youtube.com/watch?v=dhK8VLGL204&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=16&pp=iAQB
16,KATONA Renata,HUN,15,POPOVA Evelina,AIN,8,Ref BREWER Adam USA,https://www.youtube.com/watch?v=H6gXkngb6sM&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=22&pp=iAQB
16,SZUCS Luca,HUN,9,NOUTCHA Sarah,FRA,15,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=CmHKSRl60KA&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=18&pp=iAQB
16,NAVARRO Araceli,ESP,4,BATTISTON Michela,ITA,15,Ref ZHUKOVA Margarita _AIN,https://www.youtube.com/watch?v=HuT5jJhXXj8&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=20&pp=iAQB
16,KOMASHCHUK Alina,UKR,10,JEON Hayoung,KOR,15,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=Hz5_H1L8a6c&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=19&pp=iAQB
8,KIM Jeongmi,KOR,15,OZAKI Seri,JPN,8,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=L7MVV1piNo0&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=7&pp=iAQB0gcJCY0JAYcqIYzv
8,GEORGIADOU Despina,GRE,13,ILIEVA Yoana,BUL,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=bSAGsinsMGY&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=5&pp=iAQB
8,KATONA Renata,HUN,8,NOUTCHA Sarah,FRA,15,Ref ARSLAN Abdussamet TUR,https://www.youtube.com/watch?v=Yuw5iYvQRNA&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=6&pp=iAQB
8,BATTISTON Michela,ITA,8,JEON Hayoung,KOR,15,Ref BREWER Adam USA,https://www.youtube.com/watch?v=tYWD7YsZm64&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=8&pp=iAQB
4,KIM Jeongmi,KOR,15,ILIEVA Yoana,BUL,11,Ref TILENSHIYEV Yeraly KAZ,https://www.youtube.com/watch?v=JjgLub67OF0&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=124&pp=iAQB
4,NOUTCHA Sarah,FRA,10,JEON Hayoung,KOR,15,Ref ARSLAN Abdussamet TUR,https://www.youtube.com/watch?v=WE31HVKCV5U&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=123&pp=iAQB
2,KIM Jeongmi,KOR,13,JEON Hayoung,KOR,15,Ref COSTANZO Vincenzo ITA,https://www.youtube.com/watch?v=4xdpENmkT3k&list=PLNiGTm2egXLSiHrH6g9iUTBqBL8oPjJr7&index=120&pp=iAQB
