Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,BATTISTON Michela,ITA,15,KLEIN Louise,FRA,9,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=aUS29qoIwwM
32,VIALE Mariella,ITA,14,NAVARRO Araceli,ESP,15,Ref DECKER Laura USA,https://www.youtube.com/watch?v=d2KRBMB5ORE
32,BATTAI Sugar Katinka,HUN,15,FU Ying,CHN,14,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=wnmypj2096g
32,CLAPIER Faustine,FRA,15,QUEROLI Caroline,FRA,10,Ref DECKER Laura USA,https://www.youtube.com/watch?v=sOsb7WSyHeM
32,NOUTCHA Sarah,FRA,15,MOCCI Vittoria,ITA,11,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=RRcoHeYkXf8
32,MATUSZAK Sylwia,POL,15,CHAMBERLAIN Maia,USA,8,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=igktQGNTeqM
32,ERBIL Nisanur,TÜR,15,TORI Toscane,FRA,11,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=uBXwocopTcI
32,KANEKO Yuina,JPN,6,MARTIN-PORTUGUES Lucia,ESP,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=p_SKDXRaOBQ
32,CHOI Sebin,KOR,15,KOBAYASHI Kanae,JPN,14,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=Gx1-qlUps74
32,KIM Jeongmi,KOR,15,KIM Eunsun,KOR,9,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=kFpJaxHAtpY
32,WEI Jiayi,CHN,6,ROTILI Claudia,ITA,15,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=Sa-cGy66fBA
32,CRISCIO Martina,ITA,11,EMURA Misaki,JPN,15,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=KMS6shRaT-0
16,TRANQUILLE Lola,FRA,15,KASPIAROVICH Palina,AZE,11,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=LwiDUvVlMuw&list=PLNiGTm2egXLRS3E5XJ1EUuwhNtNBLgpi5&index=11&pp=iAQB
16,PAN Qimiao,CHN,13,SZUCS Luca,HUN,15,Ref DECKER Laura USA,https://www.youtube.com/watch?v=B5_wrt0FHz4
16,BATTISTON Michela,ITA,4,NAVARRO Araceli,ESP,15,Ref TSOUROUTAS Georges GRE,https://www.youtube.com/watch?v=d5CF1rXRLCU
16,BATTAI Sugar Katinka,HUN,15,CLAPIER Faustine,FRA,6,Ref VELLOSO Paulo Juan BRA,https://www.youtube.com/watch?v=M6uJ4hz8O7Q
16,NOUTCHA Sarah,FRA,15,MATUSZAK Sylwia,POL,14,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=BbiBBjKIvcI
16,ERBIL Nisanur,TÜR,15,MARTIN-PORTUGUES Lucia,ESP,12,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=rBR9Uh-eZCM
16,CHOI Sebin,KOR,5,KIM Jeongmi,KOR,1d5,Ref ATTAR COHEN Adriana ARG,https://www.youtube.com/watch?v=Jx10VWiJ9xw
16,ROTILI Claudia,ITA,8,EMURA Misaki,JPN,15,Ref BREWER Adam USA,https://www.youtube.com/watch?v=8rY9IZeqJ8E
8,TRANQUILLE Lola,FRA,11,SZUCS Luca,HUN,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=Zyg51ObZRss
8,NAVARRO Araceli,ESP,15,BATTAI Sugar Katinka,HUN,14,Ref CANTIN Pascal CAN,https://www.youtube.com/watch?v=NCi0dvuvUtQ
8,NOUTCHA Sarah,FRA,13,ERBIL Nisanur,TÜR,15,Ref PEYKARARA Reza IRI,https://www.youtube.com/watch?v=68rHbw-HmHo
8,KIM Jeongmi,KOR,13,EMURA Misaki,JPN,15,Ref BREWER Adam USA,https://www.youtube.com/watch?v=eJ_hxnhyn9Y
4,SZUCS Luca,HUN,10,NAVARRO Araceli,ESP,15,Ref BREWER Adam USA,N/A
4,ERBIL Nisanur,TÜR,11,EMURA Misaki,JPN,15,Ref PEYKARARA Reza IRI,N/A
2,NAVARRO Araceli,ESP,12,EMURA Misaki,JPN,15,Ref MILENCHEV Vasil BUL,https://www.youtube.com/watch?v=aKNHFEUam6c
